elf,status,fail_stage,category,cycles,notes
rv32ui-p-add,PASS,,,461,
rv32ui-p-addi,PASS,,,238,
rv32ui-p-and,PASS,,,481,
rv32ui-p-andi,PASS,,,194,
rv32ui-p-auipc,PASS,,,55,
rv32ui-p-beq,PASS,,,287,
rv32ui-p-bge,PASS,,,305,
rv32ui-p-bgeu,PASS,,,330,
rv32ui-p-blt,PASS,,,287,
rv32ui-p-bltu,PASS,,,312,
rv32ui-p-bne,PASS,,,287,
rv32ui-p-jal,PASS,,,51,
rv32ui-p-jalr,PASS,,,111,
rv32ui-p-lb,PASS,,,249,
rv32ui-p-lbu,PASS,,,249,
rv32ui-p-ld_st,PASS,,,959,
rv32ui-p-lh,PASS,,,265,
rv32ui-p-lhu,PASS,,,274,
rv32ui-p-lui,PASS,,,61,
rv32ui-p-lw,PASS,,,279,
rv32ui-p-or,PASS,,,484,
rv32ui-p-ori,PASS,,,201,
rv32ui-p-sb,PASS,,,450,
rv32ui-p-sh,PASS,,,503,
rv32ui-p-simple,PASS,,,37,
rv32ui-p-sll,PASS,,,489,
rv32ui-p-slli,PASS,,,237,
rv32ui-p-slt,PASS,,,455,
rv32ui-p-slti,PASS,,,233,
rv32ui-p-sltiu,PASS,,,233,
rv32ui-p-sltu,PASS,,,455,
rv32ui-p-sra,PASS,,,508,
rv32ui-p-srai,PASS,,,252,
rv32ui-p-srl,PASS,,,502,
rv32ui-p-srli,PASS,,,246,
rv32ui-p-st_ld,PASS,,,479,
rv32ui-p-sub,PASS,,,453,
rv32ui-p-sw,PASS,,,510,
rv32ui-p-xor,PASS,,,483,
rv32ui-p-xori,PASS,,,203,
